site,FD_index,value,Elev
TAM_06,FDiv,0.614325867,215
TAM_06,FDiv,0.614339508,215
TAM_06,FDiv,0.614414443,215
TAM_06,FDiv,0.614477089,215
TAM_06,FDiv,0.614487004,215
TAM_06,FDiv,0.615017022,215
TAM_06,FDiv,0.615165838,215
TAM_06,FDiv,0.615232086,215
TAM_06,FDiv,0.615364215,215
TAM_06,FDiv,0.615376391,215
TAM_06,FDiv,0.61580366,215
TAM_06,FDiv,0.615813543,215
TAM_06,FDiv,0.615865838,215
TAM_06,FDiv,0.616150837,215
TAM_06,FDiv,0.6161779,215
TAM_06,FDiv,0.616232526,215
TAM_06,FDiv,0.616585479,215
TAM_06,FDiv,0.616651197,215
TAM_06,FDiv,0.616654929,215
TAM_06,FDiv,0.616711348,215
TAM_06,FDiv,0.616778486,215
TAM_06,FDiv,0.616795883,215
TAM_06,FDiv,0.616895457,215
TAM_06,FDiv,0.616929021,215
TAM_06,FDiv,0.616932401,215
TAM_06,FDiv,0.617328785,215
TAM_06,FDiv,0.617603586,215
TAM_06,FDiv,0.617624392,215
TAM_06,FDiv,0.617633459,215
TAM_06,FDiv,0.617695306,215
TAM_06,FDiv,0.617810355,215
TAM_06,FDiv,0.61797212,215
TAM_06,FDiv,0.617984054,215
TAM_06,FDiv,0.618232655,215
TAM_06,FDiv,0.618334207,215
TAM_06,FDiv,0.618513047,215
TAM_06,FDiv,0.61852327,215
TAM_06,FDiv,0.618624798,215
TAM_06,FDiv,0.618639371,215
TAM_06,FDiv,0.618666029,215
TAM_06,FDiv,0.618713359,215
TAM_06,FDiv,0.619148087,215
TAM_06,FDiv,0.619183911,215
TAM_06,FDiv,0.619198899,215
TAM_06,FDiv,0.619245934,215
TAM_06,FDiv,0.619288393,215
TAM_06,FDiv,0.619495495,215
TAM_06,FDiv,0.619611056,215
TAM_06,FDiv,0.619750865,215
TAM_06,FDiv,0.619869655,215
TAM_06,FDiv,0.619930095,215
TAM_06,FDiv,0.620040927,215
TAM_06,FDiv,0.620126976,215
TAM_06,FDiv,0.620145856,215
TAM_06,FDiv,0.620310279,215
TAM_06,FDiv,0.620422478,215
TAM_06,FDiv,0.620440055,215
TAM_06,FDiv,0.620494442,215
TAM_06,FDiv,0.620545766,215
TAM_06,FDiv,0.620842958,215
TAM_06,FDiv,0.620844657,215
TAM_06,FDiv,0.620851301,215
TAM_06,FDiv,0.620961958,215
TAM_06,FDiv,0.620973512,215
TAM_06,FDiv,0.621003635,215
TAM_06,FDiv,0.621024605,215
TAM_06,FDiv,0.621144189,215
TAM_06,FDiv,0.621156437,215
TAM_06,FDiv,0.621359148,215
TAM_06,FDiv,0.621474897,215
TAM_06,FDiv,0.621520627,215
TAM_06,FDiv,0.62160476,215
TAM_06,FDiv,0.621639516,215
TAM_06,FDiv,0.62174156,215
TAM_06,FDiv,0.621767717,215
TAM_06,FDiv,0.62214416,215
TAM_06,FDiv,0.622268509,215
TAM_06,FDiv,0.622385878,215
TAM_06,FDiv,0.622658206,215
TAM_06,FDiv,0.622678773,215
TAM_06,FDiv,0.622747114,215
TAM_06,FDiv,0.622753643,215
TAM_06,FDiv,0.62280578,215
TAM_06,FDiv,0.622814455,215
TAM_06,FDiv,0.62320139,215
TAM_06,FDiv,0.623220884,215
TAM_06,FDiv,0.623390946,215
TAM_06,FDiv,0.623623303,215
TAM_06,FDiv,0.623663518,215
TAM_06,FDiv,0.623746179,215
TAM_06,FDiv,0.624068735,215
TAM_06,FDiv,0.624097965,215
TAM_06,FDiv,0.624109568,215
TAM_06,FDiv,0.624120337,215
TAM_06,FDiv,0.624430348,215
TAM_06,FDiv,0.624637763,215
TAM_06,FDiv,0.624638591,215
TAM_06,FDiv,0.624833427,215
TAM_06,FDiv,0.624873812,215
TAM_06,FDiv,0.625041212,215
TAM_06,FDiv,0.625086893,215
TAM_06,FDiv,0.625197525,215
TAM_06,FDiv,0.625223488,215
TAM_06,FDiv,0.625440679,215
TAM_06,FDiv,0.62572553,215
TAM_06,FDiv,0.625807606,215
TAM_06,FDiv,0.625807606,215
TAM_06,FDiv,0.625840612,215
TAM_06,FDiv,0.625912958,215
TAM_06,FDiv,0.626061756,215
TAM_06,FDiv,0.626466225,215
TAM_06,FDiv,0.626775511,215
TAM_06,FDiv,0.626927801,215
TAM_06,FDiv,0.627054471,215
TAM_06,FDiv,0.627071295,215
TAM_06,FDiv,0.627212003,215
TAM_06,FDiv,0.627264675,215
TAM_06,FDiv,0.627329381,215
TAM_06,FDiv,0.627343012,215
TAM_06,FDiv,0.627640446,215
TAM_06,FDiv,0.627700636,215
TAM_06,FDiv,0.627751549,215
TAM_06,FDiv,0.627965828,215
TAM_06,FDiv,0.628157906,215
TAM_06,FDiv,0.62819285,215
TAM_06,FDiv,0.628376981,215
TAM_06,FDiv,0.628543665,215
TAM_06,FDiv,0.628585129,215
TAM_06,FDiv,0.628603052,215
TAM_06,FDiv,0.628610154,215
TAM_06,FDiv,0.628925864,215
TAM_06,FDiv,0.629177013,215
TAM_06,FDiv,0.629181614,215
TAM_06,FDiv,0.629281428,215
TAM_06,FDiv,0.629498776,215
TAM_06,FDiv,0.629499189,215
TAM_06,FDiv,0.62958131,215
TAM_06,FDiv,0.629643797,215
TAM_06,FDiv,0.629652786,215
TAM_06,FDiv,0.629701993,215
TAM_06,FDiv,0.629822449,215
TAM_06,FDiv,0.629852628,215
TAM_06,FDiv,0.63001787,215
TAM_06,FDiv,0.630209708,215
TAM_06,FDiv,0.630315504,215
TAM_06,FDiv,0.630329325,215
TAM_06,FDiv,0.630366518,215
TAM_06,FDiv,0.630572219,215
TAM_06,FDiv,0.630766741,215
TAM_06,FDiv,0.631000289,215
TAM_06,FDiv,0.631122837,215
TAM_06,FDiv,0.631292174,215
TAM_06,FDiv,0.631329444,215
TAM_06,FDiv,0.63141726,215
TAM_06,FDiv,0.631509702,215
TAM_06,FDiv,0.631615431,215
TAM_06,FDiv,0.631664855,215
TAM_06,FDiv,0.631712889,215
TAM_06,FDiv,0.631802241,215
TAM_06,FDiv,0.631809717,215
TAM_06,FDiv,0.631853179,215
TAM_06,FDiv,0.632044775,215
TAM_06,FDiv,0.632111939,215
TAM_06,FDiv,0.632208569,215
TAM_06,FDiv,0.632296198,215
TAM_06,FDiv,0.632301347,215
TAM_06,FDiv,0.632309445,215
TAM_06,FDiv,0.632372065,215
TAM_06,FDiv,0.632382998,215
TAM_06,FDiv,0.632449469,215
TAM_06,FDiv,0.632591932,215
TAM_06,FDiv,0.632614565,215
TAM_06,FDiv,0.632646174,215
TAM_06,FDiv,0.63268404,215
TAM_06,FDiv,0.632877481,215
TAM_06,FDiv,0.632925147,215
TAM_06,FDiv,0.633086024,215
TAM_06,FDiv,0.633219119,215
TAM_06,FDiv,0.63323363,215
TAM_06,FDiv,0.633357907,215
TAM_06,FDiv,0.633370525,215
TAM_06,FDiv,0.633414343,215
TAM_06,FDiv,0.633435339,215
TAM_06,FDiv,0.633475465,215
TAM_06,FDiv,0.633493905,215
TAM_06,FDiv,0.63353397,215
TAM_06,FDiv,0.633642618,215
TAM_06,FDiv,0.63370344,215
TAM_06,FDiv,0.633722207,215
TAM_06,FDiv,0.633738949,215
TAM_06,FDiv,0.633822561,215
TAM_06,FDiv,0.633852907,215
TAM_06,FDiv,0.633862662,215
TAM_06,FDiv,0.633967668,215
TAM_06,FDiv,0.634045339,215
TAM_06,FDiv,0.634125012,215
TAM_06,FDiv,0.634145025,215
TAM_06,FDiv,0.634205087,215
TAM_06,FDiv,0.634326243,215
TAM_06,FDiv,0.634351131,215
TAM_06,FDiv,0.634440624,215
TAM_06,FDiv,0.634635513,215
TAM_06,FDiv,0.634919458,215
TAM_06,FDiv,0.634925759,215
TAM_06,FDiv,0.634961859,215
TAM_06,FDiv,0.634971482,215
TAM_06,FDiv,0.63506484,215
TAM_06,FDiv,0.635274954,215
TAM_06,FDiv,0.635434132,215
TAM_06,FDiv,0.635465257,215
TAM_06,FDiv,0.635483185,215
TAM_06,FDiv,0.635604992,215
TAM_06,FDiv,0.635637523,215
TAM_06,FDiv,0.635647448,215
TAM_06,FDiv,0.635694499,215
TAM_06,FDiv,0.635758628,215
TAM_06,FDiv,0.635814169,215
TAM_06,FDiv,0.635955654,215
TAM_06,FDiv,0.635955654,215
TAM_06,FDiv,0.63609135,215
TAM_06,FDiv,0.636279533,215
TAM_06,FDiv,0.636279533,215
TAM_06,FDiv,0.636529188,215
