site,fdar_type,replicate,No.pixels,convhull,FDiv,FRic,area_ha,Model,Elev
SPD_02,nnr,1000,4536,251.2325294,0.721811834,0.91236,1.8144,Null expectation,1494
SPD_02,nnr,1000,4544,251.5202808,0.721839031,0.91341,1.8176,Null expectation,1494
SPD_02,nnr,1000,4552,251.5991762,0.721844832,0.9137,1.8208,Null expectation,1494
SPD_02,nnr,1000,4560,251.6673735,0.721835228,0.91394,1.824,Null expectation,1494
SPD_02,nnr,1000,4568,251.9515295,0.721829703,0.91498,1.8272,Null expectation,1494
SPD_02,nnr,1000,4576,252.12092,0.721825635,0.91559,1.8304,Null expectation,1494
SPD_02,nnr,1000,4584,252.4086112,0.721824771,0.91664,1.8336,Null expectation,1494
SPD_02,nnr,1000,4592,252.4849439,0.721828825,0.91691,1.8368,Null expectation,1494
SPD_02,nnr,1000,4600,252.601941,0.721847329,0.91734,1.84,Null expectation,1494
SPD_02,nnr,1000,4608,252.6911461,0.721849706,0.91766,1.8432,Null expectation,1494
SPD_02,nnr,1000,4616,252.7139373,0.721848909,0.91774,1.8464,Null expectation,1494
SPD_02,nnr,1000,4624,252.8170467,0.721843246,0.91812,1.8496,Null expectation,1494
SPD_02,nnr,1000,4632,252.9766214,0.721839449,0.9187,1.8528,Null expectation,1494
SPD_02,nnr,1000,4640,253.2149762,0.721839256,0.91956,1.856,Null expectation,1494
SPD_02,nnr,1000,4648,253.3379445,0.721817218,0.92001,1.8592,Null expectation,1494
SPD_02,nnr,1000,4656,253.375392,0.721818858,0.92015,1.8624,Null expectation,1494
SPD_02,nnr,1000,4664,253.5381935,0.721814648,0.92074,1.8656,Null expectation,1494
SPD_02,nnr,1000,4672,253.5664416,0.721803944,0.92084,1.8688,Null expectation,1494
SPD_02,nnr,1000,4680,253.6078765,0.721803844,0.92099,1.872,Null expectation,1494
SPD_02,nnr,1000,4688,253.6855856,0.721809054,0.92127,1.8752,Null expectation,1494
SPD_02,nnr,1000,4696,253.7276853,0.721818443,0.92143,1.8784,Null expectation,1494
SPD_02,nnr,1000,4704,253.8508286,0.721814159,0.92187,1.8816,Null expectation,1494
SPD_02,nnr,1000,4712,254.1243671,0.721814902,0.92287,1.8848,Null expectation,1494
SPD_02,nnr,1000,4720,254.2735371,0.721797835,0.92341,1.888,Null expectation,1494
SPD_02,nnr,1000,4728,254.5407882,0.72178346,0.92438,1.8912,Null expectation,1494
SPD_02,nnr,1000,4736,254.7898675,0.721786762,0.92528,1.8944,Null expectation,1494
SPD_02,nnr,1000,4744,254.8520185,0.721783139,0.92551,1.8976,Null expectation,1494
SPD_02,nnr,1000,4752,255.0595563,0.721783829,0.92626,1.9008,Null expectation,1494
SPD_02,nnr,1000,4760,255.2891496,0.721785956,0.9271,1.904,Null expectation,1494
SPD_02,nnr,1000,4768,255.3309231,0.721784605,0.92725,1.9072,Null expectation,1494
SPD_02,nnr,1000,4776,255.3716229,0.721790028,0.9274,1.9104,Null expectation,1494
SPD_02,nnr,1000,4784,255.4378977,0.721790228,0.92764,1.9136,Null expectation,1494
SPD_02,nnr,1000,4792,255.5759481,0.721790385,0.92814,1.9168,Null expectation,1494
SPD_02,nnr,1000,4800,255.7355162,0.721776226,0.92872,1.92,Null expectation,1494
SPD_02,nnr,1000,4808,255.7930881,0.72177862,0.92893,1.9232,Null expectation,1494
SPD_02,nnr,1000,4816,255.8459811,0.721767393,0.92912,1.9264,Null expectation,1494
SPD_02,nnr,1000,4824,255.8803533,0.721775914,0.92924,1.9296,Null expectation,1494
SPD_02,nnr,1000,4832,256.0120168,0.72177677,0.92972,1.9328,Null expectation,1494
SPD_02,nnr,1000,4840,256.1743673,0.72177917,0.93031,1.936,Null expectation,1494
SPD_02,nnr,1000,4848,256.4649031,0.72178803,0.93137,1.9392,Null expectation,1494
SPD_02,nnr,1000,4856,256.542056,0.721780521,0.93165,1.9424,Null expectation,1494
SPD_02,nnr,1000,4864,256.5823945,0.721778901,0.93179,1.9456,Null expectation,1494
SPD_02,nnr,1000,4872,256.6190377,0.721790325,0.93193,1.9488,Null expectation,1494
SPD_02,nnr,1000,4880,256.6799184,0.721786696,0.93215,1.952,Null expectation,1494
SPD_02,nnr,1000,4888,256.7713846,0.721791662,0.93248,1.9552,Null expectation,1494
SPD_02,nnr,1000,4896,256.8099066,0.721796986,0.93262,1.9584,Null expectation,1494
SPD_02,nnr,1000,4904,256.8214686,0.721798849,0.93266,1.9616,Null expectation,1494
SPD_02,nnr,1000,4912,257.0170283,0.721799703,0.93337,1.9648,Null expectation,1494
SPD_02,nnr,1000,4920,257.4284836,0.721789539,0.93487,1.968,Null expectation,1494
SPD_02,nnr,1000,4928,257.4506192,0.721795403,0.93495,1.9712,Null expectation,1494
SPD_02,nnr,1000,4936,257.5887094,0.721793305,0.93545,1.9744,Null expectation,1494
SPD_02,nnr,1000,4944,257.6561316,0.721790581,0.93569,1.9776,Null expectation,1494
SPD_02,nnr,1000,4952,257.891265,0.721789824,0.93655,1.9808,Null expectation,1494
SPD_02,nnr,1000,4960,258.0834716,0.721799169,0.93725,1.984,Null expectation,1494
SPD_02,nnr,1000,4968,258.2357334,0.721813413,0.9378,1.9872,Null expectation,1494
SPD_02,nnr,1000,4976,258.3918268,0.721819024,0.93837,1.9904,Null expectation,1494
SPD_02,nnr,1000,4984,258.5947348,0.721818116,0.9391,1.9936,Null expectation,1494
SPD_02,nnr,1000,4992,258.6683671,0.72181723,0.93937,1.9968,Null expectation,1494
SPD_02,nnr,1000,5000,258.7565166,0.721798251,0.93969,2,Null expectation,1494
SPD_02,nnr,1000,5008,258.8285606,0.721805103,0.93995,2.0032,Null expectation,1494
SPD_02,nnr,1000,5016,258.9700073,0.721821573,0.94047,2.0064,Null expectation,1494
SPD_02,nnr,1000,5024,259.007039,0.721794097,0.9406,2.0096,Null expectation,1494
SPD_02,nnr,1000,5032,259.24535,0.721809825,0.94147,2.0128,Null expectation,1494
SPD_02,nnr,1000,5040,259.3406686,0.721803053,0.94181,2.016,Null expectation,1494
SPD_02,nnr,1000,5048,259.409364,0.721798155,0.94206,2.0192,Null expectation,1494
SPD_02,nnr,1000,5056,259.4898869,0.721784814,0.94235,2.0224,Null expectation,1494
SPD_02,nnr,1000,5064,259.778375,0.721767949,0.9434,2.0256,Null expectation,1494
SPD_02,nnr,1000,5072,259.8503383,0.721766922,0.94366,2.0288,Null expectation,1494
SPD_02,nnr,1000,5080,259.936184,0.721771499,0.94397,2.032,Null expectation,1494
SPD_02,nnr,1000,5088,260.0863284,0.721764355,0.94452,2.0352,Null expectation,1494
SPD_02,nnr,1000,5096,260.1377365,0.721751721,0.94471,2.0384,Null expectation,1494
SPD_02,nnr,1000,5104,260.4327922,0.721736707,0.94578,2.0416,Null expectation,1494
SPD_02,nnr,1000,5112,260.563942,0.721737571,0.94625,2.0448,Null expectation,1494
SPD_02,nnr,1000,5120,260.6302196,0.721746638,0.9465,2.048,Null expectation,1494
SPD_02,nnr,1000,5128,260.7120932,0.721744266,0.94679,2.0512,Null expectation,1494
SPD_02,nnr,1000,5136,260.79583,0.721741586,0.9471,2.0544,Null expectation,1494
SPD_02,nnr,1000,5144,260.9050311,0.721741383,0.94749,2.0576,Null expectation,1494
SPD_02,nnr,1000,5152,260.9492974,0.721742716,0.94765,2.0608,Null expectation,1494
SPD_02,nnr,1000,5160,260.9832393,0.721731882,0.94778,2.064,Null expectation,1494
SPD_02,nnr,1000,5168,261.0420504,0.721730327,0.94799,2.0672,Null expectation,1494
SPD_02,nnr,1000,5176,261.1900261,0.721736772,0.94853,2.0704,Null expectation,1494
SPD_02,nnr,1000,5184,261.2115464,0.721742305,0.94861,2.0736,Null expectation,1494
SPD_02,nnr,1000,5192,261.2717666,0.721726691,0.94883,2.0768,Null expectation,1494
SPD_02,nnr,1000,5200,261.3893057,0.721716283,0.94925,2.08,Null expectation,1494
SPD_02,nnr,1000,5208,261.4699869,0.721711324,0.94955,2.0832,Null expectation,1494
SPD_02,nnr,1000,5216,261.5183757,0.721708014,0.94972,2.0864,Null expectation,1494
SPD_02,nnr,1000,5224,261.5402558,0.721712365,0.9498,2.0896,Null expectation,1494
SPD_02,nnr,1000,5232,261.5863563,0.721710266,0.94997,2.0928,Null expectation,1494
SPD_02,nnr,1000,5240,261.6118775,0.721729748,0.95006,2.096,Null expectation,1494
SPD_02,nnr,1000,5248,261.6825955,0.721728045,0.95032,2.0992,Null expectation,1494
SPD_02,nnr,1000,5256,261.7860569,0.721733191,0.95069,2.1024,Null expectation,1494
SPD_02,nnr,1000,5264,261.8117358,0.72173925,0.95079,2.1056,Null expectation,1494
SPD_02,nnr,1000,5272,261.8461357,0.721743606,0.95091,2.1088,Null expectation,1494
SPD_02,nnr,1000,5280,261.9070101,0.721749823,0.95113,2.112,Null expectation,1494
SPD_02,nnr,1000,5288,261.9862405,0.721746577,0.95142,2.1152,Null expectation,1494
SPD_02,nnr,1000,5296,262.0556159,0.72175247,0.95167,2.1184,Null expectation,1494
SPD_02,nnr,1000,5304,262.1857624,0.721761288,0.95215,2.1216,Null expectation,1494
SPD_02,nnr,1000,5312,262.2657305,0.721758887,0.95244,2.1248,Null expectation,1494
SPD_02,nnr,1000,5320,262.427116,0.721761046,0.95302,2.128,Null expectation,1494
SPD_02,nnr,1000,5328,262.4733837,0.721760878,0.95319,2.1312,Null expectation,1494
